doy,tmin,tmax,rain,par,rh
182,6.066949,13.157770,0.234481,1059.875839,0.826389
183,3.730646,12.381586,0.157731,706.071713,0.905565
184,2.397638,13.684381,0.071545,702.070648,0.877591
185,1.545160,15.263208,0.000000,1098.084000,0.836597
186,-0.590979,14.786737,0.009110,1102.076782,0.841443
187,-3.159094,12.564661,0.000000,1124.324902,0.843231
188,-3.143103,12.858362,0.000000,1147.615912,0.836618
189,-3.319250,12.794061,0.000000,1118.644040,0.850680
190,0.756830,13.079767,0.000000,1130.631161,0.843789
191,3.584985,13.583948,0.000000,1159.220496,0.651375
192,1.239282,16.225824,0.000000,1136.271103,0.660810
193,-2.360999,14.294183,0.000000,1059.329687,0.835881
194,2.627008,12.539240,0.000000,1186.944171,0.717175
195,8.059900,14.154718,11.548785,947.150922,0.721754
196,5.317865,12.103448,9.873755,98.774929,0.990351
197,5.530969,9.378107,4.326579,647.627933,0.974760
198,6.537622,12.967096,1.351878,916.184799,0.944652
199,2.603113,15.433099,0.000000,1162.077246,0.793328
200,-0.820624,13.091058,0.000000,1196.202008,0.749879
201,2.514185,12.055750,0.000000,1232.618347,0.767640
202,5.939142,15.314386,0.026952,1186.240442,0.808089
203,4.631036,15.448877,0.000000,1200.847632,0.738260
204,7.920496,15.587518,2.980341,977.373236,0.793685
205,8.068048,12.012109,22.781021,604.298749,0.972291
206,6.639276,16.537317,1.254664,799.444357,0.944377
207,9.580988,18.581079,0.758810,1049.108557,0.902911
208,2.160760,16.276300,1.328107,726.938205,0.955603
209,1.609796,17.735315,0.000133,1254.111639,0.887316
210,-1.637152,17.515253,0.099273,1256.492078,0.803164
211,-0.498969,14.151483,0.000000,1309.170978,0.807811
212,-1.333899,13.140985,0.457707,1272.284082,0.801871
213,-1.475714,13.000696,0.000000,1148.002591,0.835026
214,-3.334509,14.142023,0.000000,934.598486,0.776212
215,5.004480,15.567682,0.402271,1041.877118,0.832109
216,2.400629,15.470178,0.051819,1187.042578,0.859286
217,0.836633,16.685693,0.000000,1221.961194,0.780937
218,1.347101,16.339990,0.000000,1269.862372,0.697363
219,-0.601874,17.459711,0.000000,1245.937262,0.797466
220,-4.316473,18.561639,0.000000,1304.447583,0.767459
221,0.680170,16.587152,0.000829,985.257587,0.698280
222,-6.060278,12.043481,0.000000,1328.248596,0.734884
223,1.270166,14.423730,0.000000,1317.956433,0.654097
224,1.432245,15.740106,0.000000,1152.968423,0.715336
225,-2.653143,17.747125,0.000000,1352.143243,0.744761
226,1.806879,17.076196,0.000000,1107.270804,0.696463
227,4.028192,19.026361,0.000000,1255.891248,0.756356
228,7.049677,18.669214,0.000000,1389.790582,0.614731
229,-2.618201,20.973779,0.000000,1386.828546,0.698869
230,-1.089941,20.085931,0.000000,1472.744159,0.725452
231,-2.944586,20.774347,0.000000,1525.439484,0.654160
232,3.501855,20.081506,0.000000,1482.120477,0.632610
233,8.287164,21.066553,0.000000,1423.580115,0.592184
234,1.563287,21.886011,0.000000,1482.178314,0.694226
235,10.909113,18.147485,0.000000,1505.208075,0.559472
236,5.991998,21.244714,5.058983,813.218527,0.791710
237,4.788873,19.189081,0.013835,1533.631409,0.832490
238,5.427118,18.683893,1.153766,1212.515808,0.851755
239,3.305109,18.084253,0.573691,1051.628113,0.867828
240,4.622583,19.084680,0.074599,1599.869556,0.747297
241,7.834558,20.598108,0.000000,1616.633136,0.748338
242,10.134393,21.105280,0.024731,1599.773676,0.717858
243,9.477686,20.658502,0.484902,1184.007825,0.867490
244,9.858148,22.014642,0.414812,870.049753,0.863275
245,13.625635,22.386926,0.449821,972.479068,0.705681
246,3.472833,23.145746,0.739348,668.903073,0.782861
247,2.976648,17.090784,0.000000,1540.637958,0.776403
248,-1.070654,19.194574,0.000000,1535.112848,0.745752
249,6.753564,16.789697,1.866660,878.323380,0.875136
250,1.765527,16.734186,0.063026,901.606949,0.768793
251,0.001489,15.006158,0.000000,1639.488684,0.736698
252,4.482111,16.874261,1.017572,1282.831177,0.708155
253,1.191858,15.813196,0.056375,1535.229083,0.692744
254,1.924249,17.535974,0.047409,1557.374445,0.732712
255,3.719751,18.789026,0.000000,1680.833936,0.695723
256,6.434778,19.886041,0.000000,1724.904260,0.703543
257,6.672479,21.204218,0.000000,1432.451202,0.703778
258,8.372980,23.702142,0.001531,1470.821924,0.694720
259,5.812006,22.849023,0.000000,1624.832220,0.625560
260,7.491418,23.844965,0.000000,1745.516101,0.661022
261,6.140680,24.506128,0.000000,1786.955969,0.616955
262,14.506799,23.801904,0.000000,1812.164441,0.456221
263,4.631281,26.980890,0.000000,1741.485907,0.500031
264,2.717645,24.703302,0.000000,1921.548926,0.531749
265,14.492944,28.624963,0.000000,1955.297607,0.304589
266,7.423303,28.218958,0.086723,1905.369049,0.490682
267,4.652338,30.990015,0.136031,1032.544809,0.423274
268,4.162134,21.346704,0.000000,2026.798914,0.519282
269,9.710992,26.651025,0.000000,1991.422656,0.716174
270,1.705530,27.889551,0.004645,1950.104218,0.623623
271,9.159448,28.718286,0.000000,2015.046088,0.567448
272,5.751978,29.381830,0.000000,2035.040533,0.340763
273,7.152551,25.017297,0.000921,2088.512305,0.562687
274,6.315454,25.723566,0.000000,1818.758551,0.530764
275,9.442346,25.226678,0.000000,1011.398749,0.569396
276,6.976434,24.666254,0.000000,1844.898730,0.589183
277,8.088831,25.016595,0.000000,1911.570795,0.464529
278,3.084406,26.495813,0.000000,1463.401111,0.417093
279,4.604944,23.474695,0.000000,1950.656335,0.445607
280,4.263879,26.969751,0.000000,1950.747864,0.484257
281,6.348352,28.009180,0.000000,1972.828369,0.490471
282,3.954431,21.181909,0.000000,1562.548743,0.561978
283,6.878778,22.781213,0.000000,2036.292590,0.483763
284,9.388727,25.557703,0.000000,1994.519318,0.435344
285,11.672540,26.811884,0.000000,2047.010529,0.329348
286,11.083887,28.218988,0.000000,2081.302203,0.379732
287,10.933466,30.514795,0.031827,1914.533533,0.580065
288,7.539514,24.179376,0.196847,846.095865,0.548579
289,8.995508,24.346368,0.000462,1874.769110,0.675800
290,16.044061,29.166925,0.000000,2000.960132,0.488186
291,8.708887,28.096490,0.000035,594.729266,0.614236
292,15.366815,27.891199,0.019561,920.114481,0.727525
293,11.472894,24.422113,0.016069,586.550151,0.739447
294,6.955469,25.880518,0.001364,2151.924866,0.580391
295,5.497888,22.543939,0.000000,2206.902502,0.528118
296,9.316553,26.063837,0.000000,2271.187952,0.460771
297,11.959070,27.504633,0.000000,2206.057550,0.355914
298,11.174554,29.356439,0.000239,1627.296747,0.350293
299,6.903436,28.169794,0.000000,2178.500928,0.410828
300,8.296136,29.677362,0.000000,1866.520612,0.261176
301,5.274835,20.650232,0.000000,2375.903088,0.487005
302,8.261987,26.184656,0.000000,2311.187512,0.570645
303,12.254205,29.261133,0.000000,2254.160315,0.469748
304,13.402429,32.016687,0.011719,1717.970569,0.511583
305,16.862787,29.395776,0.000000,1833.905084,0.380748
306,10.711176,30.578394,1.230394,1007.285660,0.580668
307,8.144983,29.084436,0.000000,2020.461841,0.440541
308,12.361810,31.139520,0.006663,2085.770245,0.510155
309,10.198969,23.675073,11.770575,1120.895538,0.812583
310,10.190881,24.095850,0.000720,1710.983673,0.658432
311,9.745477,24.811945,0.000000,2117.355658,0.569527
312,7.028375,24.251093,0.000000,1965.720746,0.580258
313,7.915247,23.440790,0.000000,2151.840356,0.604414
314,12.669855,27.124384,0.000000,2124.731409,0.510887
315,17.408228,31.027155,0.000000,2120.624005,0.369679
316,16.152216,33.058618,0.001774,1339.130359,0.409658
317,6.383661,26.470850,0.000000,1773.981830,0.518499
318,10.054529,24.620599,0.000000,2266.163440,0.239109
319,2.985101,16.984430,0.006334,2237.511847,0.421891
320,0.741418,16.356195,0.000000,2360.919958,0.372870
321,6.508081,22.318750,0.000000,2283.387750,0.391438
322,10.903864,33.419397,0.000000,2316.337946,0.383243
323,11.582239,31.699426,0.000000,2278.535065,0.209935
324,16.392999,33.052972,0.000000,2221.332111,0.192263
325,18.361414,34.120203,0.000000,2086.997034,0.175841
326,14.747186,34.776697,0.000000,1632.913525,0.461912
327,14.416650,32.402612,0.000000,2261.856696,0.421377
328,16.130609,36.682367,0.000000,2245.490814,0.436609
329,16.619806,35.886102,0.000000,2261.097797,0.321599
330,16.767419,39.236810,0.002293,2198.126593,0.438167
331,19.123132,36.899652,0.000000,1897.005017,0.438757
332,24.897729,40.262537,0.000000,1802.673431,0.135276
333,11.825037,36.628290,0.000000,2282.941620,0.399697
334,19.140253,35.470056,0.000000,2263.424609,0.302019
335,21.386987,35.140833,0.000000,2093.644769,0.312483
336,13.649713,29.666528,13.791275,543.262344,0.674643
337,12.872461,28.866022,0.020023,2294.001526,0.542046
338,13.046625,29.950983,0.000000,2295.163037,0.471669
339,13.932062,28.331659,0.000000,2331.622052,0.406252
340,19.551996,31.787927,0.000000,2177.493274,0.359769
341,17.866693,37.573907,0.000000,2105.127643,0.276494
342,13.622797,30.486078,0.000000,2393.783960,0.306128
343,14.858301,29.530695,0.000000,2385.816223,0.398971
344,16.071100,30.446161,0.000000,2364.829285,0.229186
345,14.899255,31.551294,0.538511,2333.724817,0.445527
346,12.255029,26.882776,0.016394,2305.258105,0.528447
347,17.044336,30.016260,0.000000,2296.217297,0.487459
348,18.829614,33.398279,0.000000,1926.474469,0.216079
349,14.302179,28.945184,0.000000,1323.277570,0.467295
350,13.355463,31.799280,0.000000,2245.437329,0.509440
351,15.290430,35.019525,0.000000,2338.807025,0.446924
352,17.954401,32.137415,0.000000,2303.730762,0.319486
353,19.554620,35.213708,0.000000,2138.819470,0.315730
354,18.927362,32.945276,0.000359,1762.113049,0.412935
355,16.131372,27.628381,2.235028,1556.320325,0.647606
356,21.885522,31.139734,0.000000,1856.881079,0.353387
357,17.010034,27.921320,5.393613,763.227710,0.701244
358,13.773035,29.881555,0.001305,1664.295807,0.308888
359,6.345544,16.791040,0.000000,2393.042749,0.310896
360,5.968317,18.282800,0.000000,2475.391846,0.360842
361,10.529413,23.032861,0.000000,2382.183728,0.490428
362,14.212122,28.405817,0.000000,2344.518701,0.441817
363,16.395898,30.574396,0.007074,2306.569965,0.473532
364,14.414026,29.228174,3.623195,1648.727850,0.579803
365,14.050134,23.810907,8.006632,1862.798834,0.717391
